file,class,method,variable,usage
D:\JAVA\Sivaaraj\sanjeev\project\OOPs-SOLID-Design-Principle-master\OOPs-SOLID-Design-Principle-master\src\main\java\com\prashant\solid\dependecyInversion\DebitCard.java,com.prashant.solid.dependecyInversion.DebitCard,doTransaction/1[long],amount,0
D:\JAVA\Sivaaraj\sanjeev\project\OOPs-SOLID-Design-Principle-master\OOPs-SOLID-Design-Principle-master\src\main\java\com\prashant\solid\InterfaceSegregation\Impl\Instagram.java,com.prashant.solid.InterfaceSegregation.Impl.Instagram,publishPost/1[java.lang.Object],post,0
D:\JAVA\Sivaaraj\sanjeev\project\OOPs-SOLID-Design-Principle-master\OOPs-SOLID-Design-Principle-master\src\main\java\com\prashant\solid\SingleResponsibility\LoanService.java,com.prashant.solid.SingleResponsibility.LoanService,getLoanInterestInfo/1[java.lang.String],loanType,3
D:\JAVA\Sivaaraj\sanjeev\project\OOPs-SOLID-Design-Principle-master\OOPs-SOLID-Design-Principle-master\src\main\java\com\prashant\solid\InterfaceSegregation\Model\Facebook.java,com.prashant.solid.InterfaceSegregation.Model.Facebook,groupVideoCall/1[java.lang.String[]],users,0
D:\JAVA\Sivaaraj\sanjeev\project\OOPs-SOLID-Design-Principle-master\OOPs-SOLID-Design-Principle-master\src\main\java\com\prashant\solid\InterfaceSegregation\Model\Facebook.java,com.prashant.solid.InterfaceSegregation.Model.Facebook,publishPost/1[java.lang.Object],post,0
D:\JAVA\Sivaaraj\sanjeev\project\OOPs-SOLID-Design-Principle-master\OOPs-SOLID-Design-Principle-master\src\main\java\com\prashant\solid\InterfaceSegregation\Model\SocialMedia.java,com.prashant.solid.InterfaceSegregation.Model.SocialMedia,groupVideoCall/1[java.lang.String[]],users,0
D:\JAVA\Sivaaraj\sanjeev\project\OOPs-SOLID-Design-Principle-master\OOPs-SOLID-Design-Principle-master\src\main\java\com\prashant\solid\InterfaceSegregation\Model\SocialMedia.java,com.prashant.solid.InterfaceSegregation.Model.SocialMedia,publishPost/1[java.lang.Object],post,0
D:\JAVA\Sivaaraj\sanjeev\project\OOPs-SOLID-Design-Principle-master\OOPs-SOLID-Design-Principle-master\src\main\java\com\prashant\solid\InterfaceSegregation\Model\Whatsapp.java,com.prashant.solid.InterfaceSegregation.Model.Whatsapp,groupVideoCall/1[java.lang.String[]],users,0
D:\JAVA\Sivaaraj\sanjeev\project\OOPs-SOLID-Design-Principle-master\OOPs-SOLID-Design-Principle-master\src\main\java\com\prashant\solid\InterfaceSegregation\Model\Whatsapp.java,com.prashant.solid.InterfaceSegregation.Model.Whatsapp,publishPost/1[java.lang.Object],post,0
D:\JAVA\Sivaaraj\sanjeev\project\OOPs-SOLID-Design-Principle-master\OOPs-SOLID-Design-Principle-master\src\main\java\com\prashant\solid\InterfaceSegregation\Impl\PostMediaManager.java,com.prashant.solid.InterfaceSegregation.Impl.PostMediaManager,publishPost/1[java.lang.Object],post,0
